"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1021","POM search query returns only matching catalog titles","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","searchFindOnlyMatchiongProducts"
"","11","Refracting Test case","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.RefactoringTest","com.example.Selenium.tests.RefactoringTest","refractoringTheExistingProject"
"","6987","Validate the Login","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","loginPageValidation"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1100","Buy a Product ""skin"" end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Product ""skin"" end to end",""
"","124","resetMakesTestOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","resetMakesTestOrderIndependent"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1577","Buy a Single product end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Single product end to end",""
"","1066","POM full journey","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","full_journey_of_all_stages"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1168","Buy a Product ""headphones"" end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Product ""headphones"" end to end",""
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1124","A fresh cart to be Opened","","2026-07-10","broken","2026-07-10","","Catalog checkout","A fresh cart to be Opened",""
"","93","flywaySeedingReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","flywaySeedingReferenceDataButNoPerTestOrders"
"","122","persistedBuilderDataAgainstIsolatedMysql()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","persistedBuilderDataAgainstIsolatedMysql"
"   As a shopper
   I want to find products,add them to my cart, and complete an order
   so that the retail purchase journey is covered in shared language","1149","Buy a Product ""water"" end to end","","2026-07-10","broken","2026-07-10","","Catalog checkout","Buy a Product ""water"" end to end",""
"","136","countsOnlyPersistedTestOrders()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.tests.OrderTestIT","com.example.Selenium.tests.OrderTestIT","countsOnlyPersistedTestOrders"
"Categories split flaky,test and product","33","categoriesPutGenericFlakyRules()","","2026-07-10","passed","2026-07-10","","com.example.Selenium.reporting.AllureReporting","com.example.Selenium.reporting.AllureReporting","categoriesPutGenericFlakyRules"
"","957","POM sort query based on the price","","2026-07-10","broken","2026-07-10","","com.example.Selenium.tests.CatalogPOMTest","com.example.Selenium.tests.CatalogPOMTest","sortProductsBasedOnthePrice"
